Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time,Unnamed: 12,Unnamed: 13,Unnamed: 14
abalon,FastForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.5622,0.5479,0.2225,0.503,0.7624,0.5959,0.6,0.13,,,
abalon,RandomForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5718,0.5572,0.2176,0.4777,0.745,0.5569,53.45,0.35,,,
abalon,FastForest,2,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.6005,0.5848,0.2032,0.7447,0.7682,0.6071,0.19,0.04,,,
abalon,RandomForest,2,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.6053,0.5908,0.2004,0.6026,0.7576,0.5710000000000001,5.91,0.04,,,
abalon,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5981,0.5837,0.2041,0.6106,0.7573,0.5802,0.2,0.04,,,
abalon,RandomForest,3,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5909,0.5758,0.20800000000000002,0.6755,0.74,0.5546,54.15,0.33,,,
abalon,FastForest,4,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",0.5742,0.5593,0.2162,0.4712,0.7516,0.5829,0.41,0.05,,,
abalon,RandomForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5766,0.5613,0.2152,0.4103,0.7359,0.5721,57.87,0.34,,,
abalon,FastForest,5,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.5598,0.5464,0.2239,0.578,0.7061,0.5622,0.2,0.04,,,
abalon,RandomForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.5742,0.561,0.2164,0.5881,0.7262,0.5323,20.37,0.12,,,
abalon,FastForest,6,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.5837,0.5704,0.2114,0.5544,0.7653,0.6402,3.25,0.39,,,
abalon,RandomForest,6,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}",0.5957,0.5829,0.205,0.5591,0.7485,0.5631,55.1,0.35,,,
abalon,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5574,0.5467,0.2238,0.5256,0.7337,0.5317,0.19,0.04,,,
abalon,RandomForest,7,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.5502,0.5373,0.2286,0.5428,0.7170000000000001,0.5389,46.27,0.3,,,
abalon,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.5731,0.5588,0.2168,0.5777,0.7378,0.5568,0.4,0.05,,,
abalon,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5755,0.561,0.2154,0.4126,0.7366,0.5748,18.62,0.12,,,
